国家,国家代码,年份,国际游客到访量,世界区域
Turkey,TUR,2016,30289000.0,Asia
United Kingdom,GBR,2016,37358000.0,Europe
United States,USA,2016,76407490.0,North America
Brazil,BRA,2017,6589000.0,South America
Canada,CAN,2017,20883000.0,North America
China,CHN,2017,60740000.0,Asia
Egypt,EGY,2017,8157000.0,Africa
France,FRA,2017,86758000.0,Europe
Germany,DEU,2017,37452000.0,Europe
Greece,GRC,2017,27194000.0,Europe
Indonesia,IDN,2017,12948000.0,Asia
Italy,ITA,2017,58253000.0,Europe
Malaysia,MYS,2017,25948000.0,Asia
Mexico,MEX,2017,39291000.0,North America
Portugal,PRT,2017,15432000.0,Europe
Singapore,SGP,2017,13903000.0,Asia
South Africa,ZAF,2017,10285000.0,Africa
Spain,ESP,2017,81869000.0,Europe
Thailand,THA,2017,35592000.0,Asia
Turkey,TUR,2017,37601000.0,Asia
United Kingdom,GBR,2017,39543000.0,Europe
United States,USA,2017,77186744.0,North America
Brazil,BRA,2018,6621000.0,South America
Canada,CAN,2018,21134000.0,North America
China,CHN,2018,62900000.0,Asia
Egypt,EGY,2018,11196000.0,Africa
France,FRA,2018,89322000.0,Europe
Germany,DEU,2018,38881000.0,Europe
Greece,GRC,2018,30123000.0,Europe
Indonesia,IDN,2018,13396000.0,Asia
Italy,ITA,2018,61567200.0,Europe
Malaysia,MYS,2018,25832000.0,Asia
Mexico,MEX,2018,41313000.0,North America
Portugal,PRT,2018,16186000.0,Europe
Singapore,SGP,2018,14673000.0,Asia
South Africa,ZAF,2018,10472000.0,Africa
Spain,ESP,2018,82808000.0,Europe
Thailand,THA,2018,38178000.0,Asia
Turkey,TUR,2018,45768000.0,Asia
United Kingdom,GBR,2018,38664000.0,Europe
United States,USA,2018,79745920.0,North America
Brazil,BRA,2019,6353000.0,South America
Canada,CAN,2019,22145000.0,North America
China,CHN,2019,65725000.0,Asia
Egypt,EGY,2019,12876000.0,Africa
France,FRA,2019,90914000.0,Europe
Germany,DEU,2019,39563000.0,Europe
Greece,GRC,2019,31348400.0,Europe
India,IND,2019,17754000.0,Asia
Indonesia,IDN,2019,15455000.0,Asia
Italy,ITA,2019,64513000.0,Europe
Malaysia,MYS,2019,26101000.0,Asia
Mexico,MEX,2019,45024000.0,North America
Portugal,PRT,2019,17283000.0,Europe
Singapore,SGP,2019,15119000.0,Asia
South Africa,ZAF,2019,10227500.0,Africa
Spain,ESP,2019,83509000.0,Europe
Thailand,THA,2019,39916000.0,Asia
Turkey,TUR,2019,51192000.0,Asia
United Kingdom,GBR,2019,39418000.0,Europe
United States,USA,2019,79442000.0,North America
Brazil,BRA,2020,2146435.0,South America
Canada,CAN,2020,2960000.0,North America
China,CHN,2020,7967000.0,Asia
Egypt,EGY,2020,3619000.0,Africa
France,FRA,2020,41684000.0,Europe
Germany,DEU,2020,12411000.0,Europe
Greece,GRC,2020,7374400.0,Europe
India,IND,2020,2699000.0,Asia
Indonesia,IDN,2020,3915400.0,Asia
Italy,ITA,2020,25190000.0,Europe
Malaysia,MYS,2020,4333000.0,Asia
Mexico,MEX,2020,24283536.0,North America
Portugal,PRT,2020,6480000.0,Europe
Singapore,SGP,2020,2086000.0,Asia
South Africa,ZAF,2020,2802000.0,Africa
Spain,ESP,2020,18933000.0,Europe
Thailand,THA,2020,6725000.0,Asia
Turkey,TUR,2020,15894000.0,Asia
United Kingdom,GBR,2020,10714000.0,Europe
United States,USA,2020,19212120.0,North America
