Source,Year,Month,Mean
GCAG,1887,1,-0.7341
GISTEMP,1887,2,-0.57
GCAG,1887,2,-0.6458
GISTEMP,1887,3,-0.36
GCAG,1887,3,-0.4351
GISTEMP,1887,4,-0.35
GCAG,1887,4,-0.473
GISTEMP,1887,5,-0.31
GCAG,1887,5,-0.5125
GISTEMP,1887,6,-0.25
GCAG,1887,6,-0.5117
GISTEMP,1887,7,-0.26
GCAG,1887,7,-0.3789
GISTEMP,1887,8,-0.36
GCAG,1887,8,-0.4383
GISTEMP,1887,9,-0.26
GCAG,1887,9,-0.3789
GISTEMP,1887,10,-0.35
GCAG,1887,10,-0.4344
GISTEMP,1887,11,-0.26
GCAG,1887,11,-0.4282
GISTEMP,1887,12,-0.33
GCAG,1887,12,-0.4893
GISTEMP,1888,1,-0.34
GCAG,1888,1,-0.6151
GISTEMP,1888,2,-0.37
GCAG,1888,2,-0.5852
GISTEMP,1888,3,-0.42
GCAG,1888,3,-0.5926
GISTEMP,1888,4,-0.21
GCAG,1888,4,-0.3435
GISTEMP,1888,5,-0.22
GCAG,1888,5,-0.3986
GISTEMP,1888,6,-0.17
GCAG,1888,6,-0.3146
GISTEMP,1888,7,-0.11
GCAG,1888,7,-0.3349
GISTEMP,1888,8,-0.16
GCAG,1888,8,-0.3038
GISTEMP,1888,9,-0.12
GCAG,1888,9,-0.3202
GISTEMP,1888,10,0.01
GCAG,1888,10,-0.158
GISTEMP,1888,11,0.02
GCAG,1888,11,-0.2564
GISTEMP,1888,12,-0.05
GCAG,1888,12,-0.2482
GISTEMP,1889,1,-0.1
GCAG,1889,1,-0.2939
GISTEMP,1889,2,0.16
GCAG,1889,2,-0.0052
GISTEMP,1889,3,0.06
GCAG,1889,3,-0.0793
GISTEMP,1889,4,0.09
GCAG,1889,4,-0.0821
GISTEMP,1889,5,-0.01
GCAG,1889,5,-0.1575
GISTEMP,1889,6,-0.1
GCAG,1889,6,-0.216
GISTEMP,1889,7,-0.08
GCAG,1889,7,-0.291
GISTEMP,1889,8,-0.21
GCAG,1889,8,-0.3151
GISTEMP,1889,9,-0.24
GCAG,1889,9,-0.3493
GISTEMP,1889,10,-0.26
GCAG,1889,10,-0.3608
GISTEMP,1889,11,-0.34
GCAG,1889,11,-0.5087
GISTEMP,1889,12,-0.3
GCAG,1889,12,-0.346
GISTEMP,1890,1,-0.42
GCAG,1890,1,-0.5159
GISTEMP,1890,2,-0.45
GCAG,1890,2,-0.4486
GISTEMP,1890,3,-0.41
GCAG,1890,3,-0.6164
GISTEMP,1890,4,-0.3
GCAG,1890,4,-0.4919
GISTEMP,1890,5,-0.39
GCAG,1890,5,-0.5295
GISTEMP,1890,6,-0.25
GCAG,1890,6,-0.4847
GISTEMP,1890,7,-0.28
GCAG,1890,7,-0.4858
GISTEMP,1890,8,-0.39
GCAG,1890,8,-0.4688
GISTEMP,1890,9,-0.36
GCAG,1890,9,-0.4766
GISTEMP,1890,10,-0.25
GCAG,1890,10,-0.4367
GISTEMP,1890,11,-0.44
GCAG,1890,11,-0.6672
GISTEMP,1890,12,-0.32
GCAG,1890,12,-0.3808
GISTEMP,1891,1,-0.34
GCAG,1891,1,-0.5744
GISTEMP,1891,2,-0.46
GCAG,1891,2,-0.5928
GISTEMP,1891,3,-0.18
GCAG,1891,3,-0.3558
GISTEMP,1891,4,-0.27
GCAG,1891,4,-0.4379
GISTEMP,1891,5,-0.16
GCAG,1891,5,-0.3342
GISTEMP,1891,6,-0.21
GCAG,1891,6,-0.3654
GISTEMP,1891,7,-0.18
GCAG,1891,7,-0.4002
GISTEMP,1891,8,-0.17
GCAG,1891,8,-0.3607
GISTEMP,1891,9,-0.15
GCAG,1891,9,-0.2614
GISTEMP,1891,10,-0.22
GCAG,1891,10,-0.3342
GISTEMP,1891,11,-0.32
GCAG,1891,11,-0.53
GISTEMP,1891,12,-0.04
GCAG,1891,12,-0.2233
GISTEMP,1892,1,-0.29
GCAG,1892,1,-0.4716
GISTEMP,1892,2,-0.12
GCAG,1892,2,-0.288
GISTEMP,1892,3,-0.4
GCAG,1892,3,-0.5216
GISTEMP,1892,4,-0.33
GCAG,1892,4,-0.5371
GISTEMP,1892,5,-0.23
GCAG,1892,5,-0.452
GISTEMP,1892,6,-0.22
GCAG,1892,6,-0.4316
GISTEMP,1892,7,-0.31
GCAG,1892,7,-0.59
GISTEMP,1892,8,-0.27
GCAG,1892,8,-0.5112
GISTEMP,1892,9,-0.17
GCAG,1892,9,-0.3872
GISTEMP,1892,10,-0.14
GCAG,1892,10,-0.4369
GISTEMP,1892,11,-0.42
GCAG,1892,11,-0.6623
GISTEMP,1892,12,-0.39
GCAG,1892,12,-0.7892
GISTEMP,1893,1,-0.81
GCAG,1893,1,-1.04
GISTEMP,1893,2,-0.57
GCAG,1893,2,-0.8461
GISTEMP,1893,3,-0.22
GCAG,1893,3,-0.4215
GISTEMP,1893,4,-0.28
GCAG,1893,4,-0.5083
GISTEMP,1893,5,-0.34
GCAG,1893,5,-0.5703
GISTEMP,1893,6,-0.25
GCAG,1893,6,-0.4526
GISTEMP,1893,7,-0.14
GCAG,1893,7,-0.2528
GISTEMP,1893,8,-0.25
GCAG,1893,8,-0.2951
GISTEMP,1893,9,-0.22
GCAG,1893,9,-0.3691
GISTEMP,1893,10,-0.18
GCAG,1893,10,-0.3052
GISTEMP,1893,11,-0.19
GCAG,1893,11,-0.4018
GISTEMP,1893,12,-0.32
GCAG,1893,12,-0.4767
GISTEMP,1894,1,-0.53
GCAG,1894,1,-0.6305
GISTEMP,1894,2,-0.29
GCAG,1894,2,-0.419
GISTEMP,1894,3,-0.23
GCAG,1894,3,-0.4981
GISTEMP,1894,4,-0.45
GCAG,1894,4,-0.5233
GISTEMP,1894,5,-0.31
GCAG,1894,5,-0.5135
GISTEMP,1894,6,-0.41
GCAG,1894,6,-0.58
GISTEMP,1894,7,-0.24
GCAG,1894,7,-0.398
GISTEMP,1894,8,-0.24
GCAG,1894,8,-0.3547
GISTEMP,1894,9,-0.28
GCAG,1894,9,-0.4397
GISTEMP,1894,10,-0.23
GCAG,1894,10,-0.3987
GISTEMP,1894,11,-0.26
GCAG,1894,11,-0.451
GISTEMP,1894,12,-0.21
GCAG,1894,12,-0.5385
GISTEMP,1895,1,-0.41
GCAG,1895,1,-0.6363
GISTEMP,1895,2,-0.43
GCAG,1895,2,-0.6321
GISTEMP,1895,3,-0.33
GCAG,1895,3,-0.6096
GISTEMP,1895,4,-0.22
GCAG,1895,4,-0.4481
GISTEMP,1895,5,-0.27
GCAG,1895,5,-0.4688
GISTEMP,1895,6,-0.21
GCAG,1895,6,-0.4206
GISTEMP,1895,7,-0.17
GCAG,1895,7,-0.3382
GISTEMP,1895,8,-0.17
GCAG,1895,8,-0.3741
GISTEMP,1895,9,-0.12
GCAG,1895,9,-0.3884
GISTEMP,1895,10,-0.1
GCAG,1895,10,-0.3137
GISTEMP,1895,11,-0.17
GCAG,1895,11,-0.3124
GISTEMP,1895,12,-0.15
GCAG,1895,12,-0.3598
GISTEMP,1896,1,-0.23
GCAG,1896,1,-0.3144
GISTEMP,1896,2,-0.13
GCAG,1896,2,-0.3287
GISTEMP,1896,3,-0.26
GCAG,1896,3,-0.5803
GISTEMP,1896,4,-0.31
GCAG,1896,4,-0.5287
GISTEMP,1896,5,-0.16
GCAG,1896,5,-0.3471
GISTEMP,1896,6,-0.11
GCAG,1896,6,-0.2236
GISTEMP,1896,7,-0.03
GCAG,1896,7,-0.1847
GISTEMP,1896,8,-0.05
GCAG,1896,8,-0.1728
GISTEMP,1896,9,-0.07
GCAG,1896,9,-0.1551
GISTEMP,1896,10,0.06
GCAG,1896,10,-0.117
GISTEMP,1896,11,-0.05
GCAG,1896,11,-0.3081
GISTEMP,1896,12,-0.05
GCAG,1896,12,-0.0825
GISTEMP,1897,1,-0.15
GCAG,1897,1,-0.2898
