日期,年份,月份,零售销售额_百万美元,年月
2021-07-01,2021,7,528600,2021-07
2021-08-01,2021,8,532477,2021-08
2021-09-01,2021,9,536651,2021-09
2021-10-01,2021,10,545361,2021-10
2021-11-01,2021,11,551082,2021-11
2021-12-01,2021,12,547277,2021-12
2022-01-01,2022,1,560257,2022-01
2022-02-01,2022,2,563777,2022-02
2022-03-01,2022,3,574485,2022-03
2022-04-01,2022,4,580943,2022-04
2022-05-01,2022,5,579844,2022-05
2022-06-01,2022,6,585556,2022-06
2022-07-01,2022,7,579267,2022-07
2022-08-01,2022,8,581196,2022-08
2022-09-01,2022,9,579446,2022-09
2022-10-01,2022,10,585006,2022-10
2022-11-01,2022,11,576356,2022-11
2022-12-01,2022,12,569119,2022-12
2023-01-01,2023,1,591964,2023-01
2023-02-01,2023,2,586165,2023-02
2023-03-01,2023,3,578812,2023-03
2023-04-01,2023,4,583874,2023-04
2023-05-01,2023,5,586286,2023-05
2023-06-01,2023,6,588670,2023-06
2023-07-01,2023,7,589257,2023-07
2023-08-01,2023,8,595191,2023-08
2023-09-01,2023,9,598956,2023-09
2023-10-01,2023,10,595517,2023-10
2023-11-01,2023,11,593567,2023-11
2023-12-01,2023,12,594256,2023-12
2024-01-01,2024,1,588944,2024-01
2024-02-01,2024,2,593206,2024-02
2024-03-01,2024,3,595969,2024-03
2024-04-01,2024,4,595676,2024-04
2024-05-01,2024,5,600372,2024-05
2024-06-01,2024,6,599979,2024-06
2024-07-01,2024,7,605814,2024-07
2024-08-01,2024,8,603601,2024-08
2024-09-01,2024,9,608774,2024-09
2024-10-01,2024,10,612772,2024-10
2024-11-01,2024,11,616344,2024-11
2024-12-01,2024,12,621713,2024-12
