国家,年度合计
欧盟,9323854.78
法国,5203221.109999999
美国,5061660.21
德国,3820897.37
加拿大,558497.86
英国,266853.18
俄罗斯,164357.63
意大利,126055.4
西班牙,96361.37999999999
韩国,82467.32
